diagnose_code,icd10_gruppe,icd10_kapitel,bezeichnung_de,schweregrad,haeufigkeit_antragspopulation_pct,altersschwerpunkt,uw_wirkung_tod,zuschlag_tod_pct,zuschlag_tod_promille,uw_wirkung_eu_bu,zuschlag_eu_bu_pct,ausschluss_code_eu_bu,zurueckstellung_monate,nachweis,freitext_variante_1,freitext_variante_2,freitext_variante_3_tippfehler,relevanz_eu_bu,arl_abweichung_hinweis,leistungsursache_kategorie,medikation_beispiel
DX-011,C50,II,"Mammakarzinom, Stadium I, Therapie abgeschlossen",3,0.6,MITTEL,ZURUECKSTELLUNG,100,0,ZURUECKSTELLUNG,0,,24,FACHARZT,"Brustkrebs 2019, OP und Bestrahlung, seit 2020 Nachsorge ohne Befund","Brustkrebs, brusterhaltend operiert, Tamoxifen","Brustkrebs 2019, Bestralung abgeschlossen",HOCH,,KREBS,Tamoxifen
DX-012,C61,II,"Prostatakarzinom, lokal begrenzt, behandelt",2,0.5,ALT,ZURUECKSTELLUNG,100,0,ZURUECKSTELLUNG,0,,24,FACHARZT,"Prostatakrebs 2021, Prostata entfernt, PSA unauffällig","Prostata OP wegen Krebs, alles gut","Prostatakrebs, Prostataektomie",MITTEL,,KREBS,
DX-013,C62,II,"Hodenkarzinom, Stadium I, geheilt",2,0.2,JUNG,ZURUECKSTELLUNG,50,0,ZURUECKSTELLUNG,0,,12,FACHARZT,"Hodenkrebs 2018, operiert, geheilt","Hodentumor mit 26, entfernt, seitdem nichts mehr",Hodenkrebs 2018 gehielt,MITTEL,,KREBS,
DX-014,C67,II,"Harnblasenkarzinom, oberflächlich, behandelt",2,0.2,ALT,ZURUECKSTELLUNG,100,0,ZURUECKSTELLUNG,0,,24,FACHARZT,"Blasentumor 2020 abgetragen, regelmässige Blasenspiegelung","Blasenkrebs, oberflächlich, Kontrolle alle 6 Monate","Blasenkrebs abgetragen, Kontrole",MITTEL,,KREBS,
DX-015,C73,II,"Schilddrüsenkarzinom (papillär), behandelt",2,0.2,MITTEL,ZURUECKSTELLUNG,50,0,ZURUECKSTELLUNG,0,,12,FACHARZT,"Schilddrüsenkrebs 2019, Schilddrüse entfernt, Radiojod, jetzt Tabletten","Schilddrüse wegen Krebs raus, nehme L-Thyroxin","Schildrüsenkrebs, Radiojod Therapie",MITTEL,,KREBS,Levothyroxin
DX-016,C81,II,"Hodgkin-Lymphom, in Remission",3,0.15,JUNG,ZURUECKSTELLUNG,150,0,ZURUECKSTELLUNG,0,,36,FACHARZT,"Hodgkin-Lymphom 2017, Chemo, seit 2018 in Remission","Lymphdrüsenkrebs mit 24, geheilt","Hodgkin Lymphom, Remision seit 2018",HOCH,,KREBS,
DX-017,C91,II,Lymphatische Leukämie,3,0.1,ALLE,ABLEHNUNG,0,0,ABLEHNUNG,0,,60,FACHARZT,"Leukämie 2021, Chemotherapie läuft","Blutkrebs, in Behandlung","Leukemie, Chemo",HOCH,,KREBS,
DX-018,D03,II,"Melanoma in situ, entfernt",1,0.3,MITTEL,NORMAL,0,0,NORMAL,0,,12,FACHARZT,"Melanom in situ 2022 entfernt, Histologie R0","Hautkrebs Vorstufe, komplett entfernt",Melanom insitu entfernt,NIEDRIG,,KREBS,
DX-019,D06,II,"Carcinoma in situ der Cervix uteri (CIN III), Konisation",1,0.4,JUNG,NORMAL,0,0,NORMAL,0,,6,ARZTZEUGNIS,"Gebärmutterhals Vorstufe, Konisation 2021, seither unauffällig","Konisation wegen PAP-Abstrich, alles gut","Gebärmutterhals Krebsvorstufe, Konisazion",NIEDRIG,,KREBS,
DX-020,D22,II,"Melanozytärer Nävus (Muttermal), entfernt, gutartig",1,2.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Muttermal entfernt, gutartig","Leberfleck rausgemacht beim Hautarzt, war nichts","Mutermal entfernt, gutartig",NIEDRIG,,KREBS,
DX-021,D25,II,Leiomyom des Uterus (Myom),1,1.2,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Myome in der Gebärmutter, Kontrolle","Gebärmuttermyom, 2020 operativ entfernt",Myome Gebärmuter,NIEDRIG,,SONSTIGE,
DX-022,D50,III,Eisenmangelanämie,1,2.2,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Eisenmangel, nehme Eisentabletten",Blutarmut wegen Eisenmangel,"Eisenmangelanämie, Eisentabletten",NIEDRIG,,SONSTIGE,Eisen(II)-sulfat
DX-023,D56,III,Thalassaemia minor,1,0.2,ALLE,NORMAL,0,0,NORMAL,0,,0,ARZTZEUGNIS,"Thalassämie minor, keine Behandlung nötig","Erbliche Blutarmut (Thalassämie), keine Beschwerden",Talassämie minor,NIEDRIG,,SONSTIGE,
DX-024,D68,III,"Gerinnungsstörung (Faktor-V-Leiden, heterozygot)",2,0.5,ALLE,ZUSCHLAG,25,0,ZUSCHLAG,25,,0,ARZTZEUGNIS,"Faktor-V-Leiden, erhöhte Thromboseneigung","Blutgerinnungsstörung, muss bei OPs Spritzen bekommen",Faktor 5 Leiden,MITTEL,,HERZ_KREISLAUF,
DX-025,E03,IV,"Hypothyreose (Schilddrüsenunterfunktion), substituiert",1,4.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Schilddrüsenunterfunktion, L-Thyroxin 75","Schilddrüse, nehme jeden Morgen eine Tablette","Schilddrüsen Unterfunktion, L-Tyroxin",NIEDRIG,,SONSTIGE,Levothyroxin
DX-026,E04,IV,"Struma nodosa (Kropf), euthyreot",1,1.0,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Vergrösserte Schilddrüse mit Knoten, Kontrolle jährlich","Knoten in der Schilddrüse, gutartig",Struma nodossa,NIEDRIG,,SONSTIGE,
DX-027,E05,IV,"Hyperthyreose (Morbus Basedow), behandelt",2,0.5,MITTEL,NORMAL,0,0,ZUSCHLAG,25,,0,ARZTZEUGNIS,"Schilddrüsenüberfunktion 2019, Radiojod, jetzt Unterfunktion mit Tabletten","Morbus Basedow, medikamentös eingestellt",Schildrüsenüberfunktion Basedow,NIEDRIG,,SONSTIGE,Carbimazol
DX-028,E10,IV,Diabetes mellitus Typ 1,3,0.5,JUNG,ZUSCHLAG,150,0,ZUSCHLAG,200,,0,FACHARZT;LABOR,"Diabetes Typ 1 seit Kindheit, Insulinpumpe, HbA1c 6.8","Zuckerkrank (Typ 1), spritze Insulin","Diabetis Typ 1, Insulin",HOCH,ARL-1985/2008/2015: EU/BU Ablehnung; ARL-2025: +200 %,SONSTIGE,Insulin glargin / Insulin aspart
DX-029,E11,IV,"Diabetes mellitus Typ 2, ohne Komplikationen, HbA1c < 7",2,3.0,ALT,ZUSCHLAG,75,0,ZUSCHLAG,125,,0,LABOR,"Diabetes Typ 2 seit 2018, Metformin, gut eingestellt","Altersdiabetes, Tabletten, Werte ok","Diabetis Typ 2, Metformin",HOCH,EU/BU bei HbA1c > 8 oder Komplikationen: Ablehnung,SONSTIGE,Metformin
DX-030,E66,IV,Adipositas (BMI >= 30),2,6.0,ALLE,ZUSCHLAG,25,0,ZUSCHLAG,50,,0,FRAGEBOGEN,"Übergewicht, 112 kg bei 178 cm","Bin übergewichtig, sonst gesund","Adipositas, Übergewicht",MITTEL,Zuschlag gemaess BMI-Tabelle; ARL-2008 strenger (BMI 30-32.9 = +50 %),SONSTIGE,
DX-031,E78,IV,Hypercholesterinämie / Fettstoffwechselstörung,1,5.0,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Erhöhtes Cholesterin, Statin","Cholesterin zu hoch, nehme Atorvastatin 20",Cholesterien erhöht,NIEDRIG,Ohne Behandlung und LDL > 5: +25 %,HERZ_KREISLAUF,Atorvastatin
DX-032,F10,V,"Alkoholabhängigkeit, abstinent >= 3 Jahre",3,0.6,MITTEL,ZUSCHLAG,100,0,ABLEHNUNG,0,,0,FACHARZT,"Alkoholentzug 2019, seither trocken","Hatte Alkoholproblem, seit 4 Jahren abstinent, Selbsthilfegruppe","Alkoholabhängikeit, seit 2019 trocken",HOCH,ARL-2025: EU/BU +200 % nach 5 Jahren Abstinenz,PSYCHISCH,
DX-033,F12,V,"Cannabis-Konsum, schädlicher Gebrauch",2,0.8,JUNG,ZUSCHLAG,25,0,ZUSCHLAG,50,EX-PSY,0,FRAGEBOGEN,Kiffe gelegentlich am Wochenende,"Cannabis früher regelmässig, jetzt selten",Canabis Konsum gelegentlich,MITTEL,,PSYCHISCH,
DX-034,F17,V,Tabakabhängigkeit,1,18.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Rauche ca. 10 Zigaretten am Tag,"Raucher, eine Schachtel pro Tag",Rauche 15 Zigareten täglich,NIEDRIG,"Wird ueber Rauchertarif abgebildet, nicht ueber Zuschlag; siehe Raucher-Tabelle",SONSTIGE,
DX-035,F20,V,Schizophrenie,3,0.15,JUNG,ZUSCHLAG,150,0,ABLEHNUNG,0,,0,FACHARZT,"Psychose 2017, seither stabil mit Medikamenten","Schizophrenie, betreut, arbeite Teilzeit",Schizofrenie,HOCH,,PSYCHISCH,Risperidon
DX-036,F31,V,Bipolare affektive Störung,3,0.3,MITTEL,ZUSCHLAG,100,0,ABLEHNUNG,0,,0,FACHARZT,"Bipolare Störung, seit 2016 stabil mit Lithium","Manisch-depressiv, gut eingestellt","Bipolar, Litium",HOCH,,PSYCHISCH,Lithium
DX-037,F32,V,"Depressive Episode, einmalig, remittiert > 1 Jahr",2,4.5,ALLE,NORMAL,0,0,ZUSCHLAG,50,EX-PSY,0,FRAGEBOGEN,"Depression 2020 nach Trennung, Therapie abgeschlossen","Hatte eine depressive Phase, ging zum Psychologen, jetzt gut","Depresion 2020, Therapie beendet",HOCH,Bei Remission < 1 Jahr: Zurueckstellung 12 Monate,PSYCHISCH,Sertralin (abgeschlossen)
DX-038,F33,V,"Rezidivierende depressive Störung, stationär behandelt",3,1.2,MITTEL,ZUSCHLAG,75,0,ABLEHNUNG,0,EX-PSY,24,FACHARZT,"Wiederkehrende Depressionen, 2021 Klinikaufenthalt, Medikamente","mehrere Depressionen, war in der Psychiatrie","rezidivierende Depresion, stationär",HOCH,EU/BU: Ablehnung oder Ausschluss psychisch (ARL-2025: Ausschluss moeglich),PSYCHISCH,Venlafaxin
DX-039,F41,V,Angststörung / Panikstörung,2,2.5,JUNG,NORMAL,0,0,ZUSCHLAG,50,EX-PSY,0,FRAGEBOGEN,"Panikattacken 2019, Verhaltenstherapie","Angststörung, war in Therapie, geht besser","Panikatacken, Therapie",HOCH,,PSYCHISCH,Escitalopram
DX-040,F42,V,Zwangsstörung,2,0.3,JUNG,NORMAL,0,0,ZUSCHLAG,75,EX-PSY,0,FACHARZT,"Zwangsstörung, ambulante Therapie seit 2022","Zwangsgedanken, in Behandlung",Zwangstörung,HOCH,,PSYCHISCH,
DX-041,F43,V,Anpassungsstörung / akute Belastungsreaktion (Burnout),2,3.0,MITTEL,NORMAL,0,0,ZUSCHLAG,50,EX-PSY,0,FRAGEBOGEN,"Burnout 2022, 3 Monate krankgeschrieben, wieder voll arbeitsfähig","Erschöpfung wegen Job, Auszeit genommen","Burn-out 2022, 3 Monate AU",HOCH,ICD Z73 (Burnout) wird in Arztberichten oft statt F43 codiert (Extraktionsfalle),PSYCHISCH,
DX-042,F45,V,Somatoforme Störung,2,0.6,MITTEL,NORMAL,0,0,ZUSCHLAG,75,EX-PSY,0,FACHARZT,"Chronische Schmerzen ohne Befund, psychosomatische Reha 2021","Schmerzen überall, Ärzte finden nichts",somatoforme Störrung,HOCH,,PSYCHISCH,
DX-043,F50,V,"Essstörung (Anorexie/Bulimie), remittiert",2,0.5,JUNG,ZUSCHLAG,50,0,ZUSCHLAG,100,EX-PSY,24,FACHARZT,"Magersucht als Jugendliche, seit 2018 stabiles Gewicht","Essstörung früher, heute normal","Anorexie mit 17, seit Jahren ok",HOCH,BMI-Tabelle < 17: zusaetzliche Rueckfrage,PSYCHISCH,
DX-044,F51,V,Nichtorganische Schlafstörung,1,2.0,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Schlafstörungen, gelegentlich Schlafmittel","Schlafe schlecht, nehme manchmal Zolpidem",Schlafstörrung,NIEDRIG,,PSYCHISCH,Zolpidem
DX-045,F90,V,ADHS (Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung),1,1.2,JUNG,NORMAL,0,0,ZUSCHLAG,25,,0,FRAGEBOGEN,"ADHS, nehme Methylphenidat","ADHS seit Kindheit, Medikamente","ADHS, Ritalin",MITTEL,,PSYCHISCH,Methylphenidat
DX-046,G20,VI,Morbus Parkinson,3,0.1,ALT,ZUSCHLAG,150,0,ABLEHNUNG,0,,0,FACHARZT,"Parkinson seit 2021, Medikamente","Parkinson, leichtes Zittern",Parkinsson,HOCH,,SONSTIGE,Levodopa
DX-047,G35,VI,Multiple Sklerose,3,0.3,JUNG,ZUSCHLAG,100,0,ABLEHNUNG,0,,0,FACHARZT,"MS seit 2016, schubförmig, Basistherapie, keine Einschränkung","Multiple Sklerose, zwei Schübe, sonst gut",Multiple Sklerosse,HOCH,,SONSTIGE,Interferon beta
DX-048,G40,VI,"Epilepsie, anfallsfrei > 2 Jahre",2,0.6,JUNG,ZUSCHLAG,50,0,ZUSCHLAG,50,EX-NEURO,0,FACHARZT,"Epilepsie, letzter Anfall 2019, Medikamente","Hatte epileptische Anfälle, seit Jahren keine mehr","Epilepsi, anfallsfrei",MITTEL,Anfallsfrei < 2 Jahre: +100 % / Zurueckstellung,SONSTIGE,Lamotrigin
DX-049,G43,VI,Migräne,1,6.0,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Migräne, ca. 2x pro Monat, Triptane","Migräneanfälle, Sumatriptan bei Bedarf","Migräne, Tripatane",NIEDRIG,Migraene mit Aura: EU/BU +25 %,SONSTIGE,Sumatriptan
DX-050,G47,VI,"Obstruktive Schlafapnoe, CPAP-Therapie",2,1.8,ALT,ZUSCHLAG,25,0,ZUSCHLAG,25,,0,ARZTZEUGNIS,"Schlafapnoe, schlafe mit CPAP-Maske","Atemaussetzer nachts, Maske","Schlafapnö, CPAP",MITTEL,Unbehandelt: +50 %,SONSTIGE,
DX-051,G56,VI,Karpaltunnelsyndrom,1,1.5,MITTEL,NORMAL,0,0,NORMAL,0,EX-HAND,0,FRAGEBOGEN,Karpaltunnel rechts 2021 operiert,"Karpaltunnel OP, Hand ok",Karpaltunel Syndrom,MITTEL,EU/BU bei handwerklichen Berufen: Ausschluss Hand,BEWEGUNG,
DX-052,G62,VI,Polyneuropathie,2,0.4,ALT,ZUSCHLAG,50,0,ZUSCHLAG,100,,0,FACHARZT,"Nervenschädigung an den Füssen, Ursache unklar","Polyneuropathie, Taubheitsgefühl Füsse",Polyneuropatie,HOCH,,SONSTIGE,
DX-053,H35,VII,Netzhauterkrankung (Retinopathie),2,0.3,ALT,ZUSCHLAG,25,0,ZUSCHLAG,50,EX-AUGE,0,FACHARZT,"Netzhautveränderung durch Diabetes, Laser",Netzhaut gelasert,Netzhauterkrankung,MITTEL,Als Diabetes-Komplikation: E11 Stufe strenger,SONSTIGE,
DX-054,H40,VII,Glaukom (grüner Star),1,0.8,ALT,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Grüner Star, Augentropfen","Erhöhter Augendruck, Tropfen","Glaukom, Augentropfen",NIEDRIG,,SONSTIGE,Timolol Augentropfen
DX-055,H52,VII,Refraktionsfehler (Kurz-/Weitsichtigkeit),1,20.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Brille wegen Kurzsichtigkeit,"Trage Brille, -3 Dioptrien","Kurzsichtig, Brille",NIEDRIG,Wird haeufig ueberfluessig angegeben; Rauschen fuer Extraktion,SONSTIGE,
DX-056,H90,VIII,Schwerhörigkeit,1,1.0,ALT,NORMAL,0,0,ZUSCHLAG,25,,0,FRAGEBOGEN,"Schwerhörig, Hörgerät beidseits","Höre schlecht, Hörgerät","Schwerhöhrigkeit, Hörgerät",MITTEL,Berufsabhaengig,SONSTIGE,
DX-057,I10,IX,"Essentielle Hypertonie, medikamentös eingestellt, RR < 140/90",2,12.0,MITTEL,NORMAL,0,0,ZUSCHLAG,25,,0,FRAGEBOGEN,"Bluthochdruck, nehme Tabletten, Werte normal","hoher Blutdruck seit 2019, Ramipril 5 mg","Bluthochdruk, Tabletten",MITTEL,"Unbehandelt RR >= 160/100: Tod +50-100 %, EU/BU +100 % oder Ausschluss",HERZ_KREISLAUF,Ramipril
DX-058,I21,IX,"Akuter Myokardinfarkt vor > 2 Jahren, EF > 50 %",3,0.5,ALT,ZUSCHLAG,150,0,ABLEHNUNG,0,,12,FACHARZT,"Herzinfarkt 2020, Stent, seither beschwerdefrei","Hatte Herzinfarkt, zwei Stents, Reha, alles gut","Herzinfakt 2020, Stent",HOCH,,HERZ_KREISLAUF,"ASS, Statin, Betablocker"
DX-059,I25,IX,Chronische ischämische Herzkrankheit (KHK),3,0.8,ALT,ZUSCHLAG,100,0,ABLEHNUNG,0,,0,FACHARZT,"Koronare Herzkrankheit, Stent 2018, Belastungs-EKG unauffällig","Verengte Herzkranzgefässe, Stent","KHK, Stent 2018",HOCH,,HERZ_KREISLAUF,"ASS, Statin"
DX-060,I26,IX,"Lungenembolie, abgeheilt",2,0.3,MITTEL,ZUSCHLAG,50,0,ZUSCHLAG,50,,12,FACHARZT,"Lungenembolie 2021 nach Langstreckenflug, 6 Monate Blutverdünner","Hatte Lungenembolie, jetzt gesund","Lungenembolie 2021, Blutverdüner",MITTEL,Rezidiv oder Dauerantikoagulation: +100 %,HERZ_KREISLAUF,Rivaroxaban (abgeschlossen)
DX-061,I34,IX,Herzklappenfehler (Mitralinsuffizienz leicht),2,0.4,ALT,ZUSCHLAG,50,0,ZUSCHLAG,50,,0,FACHARZT,"Leichte Undichtigkeit der Mitralklappe, jährliche Kontrolle","Herzklappe undicht, keine Beschwerden",Herzklappenfeler leicht,MITTEL,,HERZ_KREISLAUF,
DX-062,I42,IX,Kardiomyopathie,3,0.15,MITTEL,ZUSCHLAG,200,0,ABLEHNUNG,0,,0,FACHARZT,"Herzmuskelerkrankung, EF 45 %, Medikamente","Herzmuskelschwäche, Kardiologe",Kardiomyopatie,HOCH,EF < 40 %: Ablehnung,HERZ_KREISLAUF,Bisoprolol
DX-063,I48,IX,"Vorhofflimmern, paroxysmal",2,1.0,ALT,ZUSCHLAG,50,0,ZUSCHLAG,50,,0,ARZTZEUGNIS,"Vorhofflimmern, Blutverdünner, Ablation 2022","Herzrhythmusstörung, Marcumar","Vorhofflimern, Ablation",MITTEL,,HERZ_KREISLAUF,Apixaban
DX-064,I49,IX,Extrasystolen (harmlose Herzrhythmusstörung),1,2.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Herzstolpern, abgeklärt, harmlos",Extrasystolen laut Kardiologe ohne Bedeutung,"Extrasystollen, harmlos",NIEDRIG,,HERZ_KREISLAUF,
DX-065,I50,IX,Herzinsuffizienz NYHA II,3,0.3,ALT,ZUSCHLAG,200,0,ABLEHNUNG,0,,0,FACHARZT,"Herzschwäche, NYHA II, Medikamente","Herzschwäche, werde schnell müde",Herzinsufizienz,HOCH,NYHA III/IV: Ablehnung,HERZ_KREISLAUF,Sacubitril/Valsartan
DX-066,I63,IX,Hirninfarkt (Schlaganfall) vor > 2 Jahren ohne Residuen,3,0.3,ALT,ZUSCHLAG,150,0,ABLEHNUNG,0,,24,FACHARZT,"Schlaganfall 2020, vollständig erholt","Hatte leichten Schlaganfall, keine Folgen","Schlaganfal 2020, keine Folgen",HOCH,,HERZ_KREISLAUF,"ASS, Statin"
DX-067,I71,IX,"Aortenaneurysma, operiert",3,0.1,ALT,ZUSCHLAG,100,0,ABLEHNUNG,0,,12,FACHARZT,Bauchaorta-Aneurysma 2021 mit Stent versorgt,Aneurysma operiert,Aortenaneurisma,HOCH,,HERZ_KREISLAUF,
DX-068,I80,IX,"Tiefe Venenthrombose, abgeheilt",2,0.8,MITTEL,NORMAL,0,0,ZUSCHLAG,25,,6,ARZTZEUGNIS,"Thrombose im Bein 2020, Blutverdünner 6 Monate","Beinvenenthrombose nach OP, ausgeheilt",Trombose im Bein,MITTEL,Rezidivierend: Tod +25 %,HERZ_KREISLAUF,Rivaroxaban (abgeschlossen)
DX-069,I83,IX,Varizen (Krampfadern),1,3.5,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Krampfadern, 2019 verödet","Krampfadern beidseits, Stützstrümpfe",Krampfaddern,NIEDRIG,,HERZ_KREISLAUF,
DX-070,I95,IX,Hypotonie (niedriger Blutdruck),1,2.0,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Niedriger Blutdruck, manchmal schwindlig","Blutdruck zu tief, kein Problem","Hypotonie, niedriger Blutdruck",NIEDRIG,,HERZ_KREISLAUF,
DX-071,J18,X,"Pneumonie (Lungenentzündung), ausgeheilt",1,1.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Lungenentzündung 2022, Antibiotika, ausgeheilt","Hatte Lungenentzündung, Spital 1 Woche",Lungenentzündung ausgeheilt,NIEDRIG,,SONSTIGE,
DX-072,J30,X,Allergische Rhinitis (Heuschnupfen),1,9.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Heuschnupfen im Frühling,"Pollenallergie, Antihistaminika",Heuschupfen,NIEDRIG,,SONSTIGE,Cetirizin
DX-073,J32,X,Chronische Sinusitis,1,1.5,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Chronische Nebenhöhlenentzündung, 2020 operiert",Nasennebenhöhlen OP,chronische Sinusitits,NIEDRIG,,SONSTIGE,
DX-074,J44,X,COPD (chronisch obstruktive Lungenerkrankung),3,0.7,ALT,ZUSCHLAG,100,0,ZUSCHLAG,150,,0,FACHARZT,"COPD Stadium II, Inhalator, Ex-Raucher","Raucherlunge, Spray","COPD, Inhalattor",HOCH,GOLD III/IV: Ablehnung,SONSTIGE,Tiotropium
DX-075,J45,X,"Asthma bronchiale, leicht, gut kontrolliert",1,4.0,JUNG,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Leichtes Asthma, Spray bei Bedarf","Asthma seit Kindheit, selten Anfälle","Astma, Spray",NIEDRIG,"Mittelschwer (Dauertherapie, Notfall): Tod +25 %, EU/BU +50 %",SONSTIGE,Salbutamol
DX-076,K21,XI,Gastroösophageale Refluxkrankheit,1,5.0,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Sodbrennen, nehme Pantoprazol","Reflux, Magensäureblocker","Sodbrenen, Pantoprazol",NIEDRIG,,SONSTIGE,Pantoprazol
DX-077,K25,XI,"Magenulkus, abgeheilt",1,0.8,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Magengeschwür 2019, Helicobacter behandelt","Magengeschwür, ausgeheilt",Magengeschwühr,NIEDRIG,,SONSTIGE,
DX-078,K29,XI,Gastritis,1,3.0,ALLE,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,"Magenschleimhautentzündung, Tabletten","Gastritis, Stress",Gastritits,NIEDRIG,,SONSTIGE,
DX-079,K40,XI,"Leistenhernie, operiert",1,1.5,MITTEL,NORMAL,0,0,NORMAL,0,,0,FRAGEBOGEN,Leistenbruch 2021 operiert,Leistenbruch OP,Leistenbruch opperiert,NIEDRIG,,BEWEGUNG,
