typ,kuerzel,bezeichnung,text_de_ch,text_de_de,rechtsgrundlage_ch,rechtsgrundlage_de,avb_ref_ch_HP-KLASSIK,avb_ref_ch_HP-MODERN,avb_ref_ch_MZ-DIRECT,avb_ref_ch_PM-2025,ahb_ref_de_HP-KLASSIK,ahb_ref_de_HP-MODERN,ahb_ref_de_MZ-DIRECT,ahb_ref_de_PM-2025,bemerkung
deckung,baustein_fehlt,Erforderlicher Baustein nicht versichert,Das Risiko ist nur mit dem entsprechenden Baustein versichert; dieser ist im Vertrag nicht eingeschlossen.,"Für dieses Risiko ist ein Zusatzbaustein erforderlich, der im Vertrag nicht eingeschlossen ist.",AVB,AHB/BBR,AVB 2005 Art. 8 (keine Bausteine),Ziff. B3 / Anhang Bausteine,Ziff. B3 / Anhang Bausteine,Ziff. B3 / Anhang Bausteine,BBR PHV 2008 Ziff. 1,BBR PHV 2015 Ziff. 1,BBR PHV 2021 Ziff. 1,BBR PHV 2025 Ziff. 1,"Hundehalter DE, Pferd, Öltank, Bausumme über Limit (Stolperstein U13)"
deckung,obliegenheit_verletzt,Obliegenheit im Schadenfall verletzt,"Der Versicherungsnehmer hat Obliegenheiten verletzt (z. B. Anerkenntnis ohne Zustimmung, fehlende Mitwirkung); die Leistung wird gekürzt oder verweigert.",Der Versicherungsnehmer hat Obliegenheiten nach Eintritt des Versicherungsfalls verletzt (§ 28 VVG).,Art. 38/45 VVG,§ 28 VVG,AVB 2005 Art. 18,Ziff. A7/A8,Ziff. A7/A8,Ziff. A7/A8,AHB 2008 Ziff. 23/24,AHB 2013 Ziff. 24/25,AHB 2021 Ziff. 24/25,AHB 2025 Ziff. 24/25,Kürzung nur bei Kausalität; Stolperstein S7
deckung,verspaetete_meldung,Verspätete Schadenmeldung,Der Schaden wurde nicht innert der vertraglichen Frist gemeldet.,Der Versicherungsfall wurde nicht fristgerecht angezeigt.,Art. 38 VVG,§ 30 VVG,AVB 2005 Art. 17 ('sofort'),Ziff. E1 ('unverzüglich'),"Ziff. E1 ('unverzüglich, spätestens innert 30 Tagen')","Ziff. E1 ('unverzüglich, spätestens innert 30 Tagen')",AHB 2008 Ziff. 23.1,AHB 2013 Ziff. 24.1,AHB 2021 Ziff. 24.1,AHB 2025 Ziff. 24.1,"Meldeverzug > 30 Tage: PHV 15 %, BHV 25 %, BeHV 60 %"
deckung,unter_selbstbehalt,Schaden unter Selbstbehalt,Der Schaden liegt unter dem vereinbarten Selbstbehalt.,Der Schaden liegt unter der vereinbarten Selbstbeteiligung.,AVB,AHB,AVB 2005 Art. 9,Ziff. A9,Ziff. A9,Ziff. A9,AHB 2008 Ziff. 6.3,AHB 2013 Ziff. 6.3,AHB 2021 Ziff. 6.3,AHB 2025 Ziff. 6.3,Nullschaden; Schliessungsgrund unter_sb
deckung,sublimit_ueberschritten,Sublimit erreicht (Teilablehnung),Für diese Schadenart gilt ein Sublimit; der darüber hinausgehende Betrag ist nicht versichert.,Für diese Schadenart gilt eine begrenzte Versicherungssumme; darüber hinausgehende Beträge sind nicht gedeckt.,AVB,AHB/BBR,AVB 2005 Art. 7,Ziff. C5 / Anhang Sublimit-Tabelle,Ziff. C5 / Anhang Sublimit-Tabelle,Ziff. C5 / Anhang Sublimit-Tabelle (Unschärfe R1),BBR PHV 2008 Ziff. 3,BBR PHV 2015 Ziff. 3,BBR PHV 2021 Ziff. 3,BBR PHV 2025 Ziff. 7 (Sublimit-Tabelle Basis/Komfort/Premium),Teilweise Deckung (deckungsstatus teilweise); Stolperstein S6/S10
deckung,anzeigepflicht,Anzeigepflichtverletzung bei Vertragsabschluss,Bei Vertragsabschluss wurden erhebliche Gefahrstatsachen unrichtig angegeben; wir kündigen den Vertrag und lehnen die Leistung ab (Art. 6 VVG).,Bei Antragstellung wurden gefahrerhebliche Umstände unrichtig angegeben; wir treten vom Vertrag zurück bzw. sind leistungsfrei (§§ 19 ff. VVG).,Art. 6 VVG,§§ 19-21 VVG,AVB 2005 Art. 5,Ziff. A6,Ziff. A6,Ziff. A6,AHB 2008 Ziff. 21,AHB 2013 Ziff. 22,AHB 2021 Ziff. 22,AHB 2025 Ziff. 22,Stolperstein U2/U12; Betrugsmuster F9
deckung,falsche_sparte,Andere Sparte zuständig,"Der gemeldete Schaden fällt nicht unter die Haftpflichtversicherung (z. B. Hausrat, Motorfahrzeug, Rechtsschutz).","Der gemeldete Schaden fällt nicht in die Haftpflichtversicherung (z. B. Hausrat, Kfz, Rechtsschutz).",AVB,AHB,AVB 2005 Art. 2,Ziff. C1,Ziff. C1,Ziff. C1,AHB 2008 Ziff. 1,AHB 2013 Ziff. 1,AHB 2021 Ziff. 1,AHB 2025 Ziff. 1,"Stolperstein S3: Einbruch, Mietauto; Weiterleitung 'bitte Sparte X kontaktieren'"
deckung,ausschluss_sonstiger,Sonstiger Ausschluss,"Der Schaden fällt unter einen weiteren Ausschluss (z. B. Asbest, Kernenergie, USA/Kanada, Bussen, Krankheitsübertragung je nach Generation).","Der Schaden fällt unter einen weiteren Ausschluss (z. B. Asbest, Kernenergie, USA/Kanada, Vertragsstrafen, Krankheitsübertragung je nach Generation).",AVB,AHB,AVB 2005 Art. 16,Ziff. D8-D14,Ziff. D8-D14 (Krankheitsübertragung bis 1 Mio. eingeschlossen),Ziff. D8-D14 (Krankheitsübertragung bis 1 Mio. eingeschlossen),AHB 2008 Ziff. 7.8-7.14,AHB 2013 Ziff. 7.8-7.14,AHB 2021 Ziff. 7.8-7.14,AHB 2025 Ziff. 7.8-7.14,Freitext-Begründung in S13 erforderlich
haftung,kein_verschulden,Kein Verschulden des Versicherten,Unseren Versicherten trifft kein Verschulden; eine Haftung nach Art. 41 OR besteht nicht.,Unseren Versicherungsnehmer trifft kein Verschulden; eine Haftung nach § 823 BGB besteht nicht.,Art. 41 OR,§ 823 BGB,,,,,,,,,Abwehr unberechtigter Ansprüche (passive Rechtsschutzfunktion)
haftung,keine_widerrechtlichkeit,Keine Widerrechtlichkeit,"Das Verhalten unseres Versicherten war nicht widerrechtlich (Rechtfertigungsgrund, erlaubtes Risiko).","Das Verhalten unseres Versicherungsnehmers war nicht rechtswidrig (Rechtfertigungsgrund, erlaubtes Risiko).",Art. 41 OR,§ 823 BGB,,,,,,,,,
haftung,keine_kausalitaet,Kein adäquater Kausalzusammenhang,Zwischen dem Verhalten unseres Versicherten und dem geltend gemachten Schaden besteht kein adäquater Kausalzusammenhang.,Zwischen dem Verhalten unseres Versicherungsnehmers und dem geltend gemachten Schaden besteht kein haftungsbegründender Kausalzusammenhang.,Art. 41 OR,§ 823 BGB,,,,,,,,,Stolperstein S16 medizinische Kausalität
haftung,kein_schaden_nachgewiesen,Schaden nicht nachgewiesen,"Der geltend gemachte Schaden ist nicht belegt (keine Rechnungen, Kostenvoranschläge oder Fotos).","Der geltend gemachte Schaden ist nicht nachgewiesen (keine Belege, Kostenvoranschläge oder Fotos).",Art. 42 OR; Art. 8 ZGB,§ 249 BGB; § 287 ZPO,,,,,,,,,Betrugsmuster F3
haftung,hoehe_nicht_ersatzfaehig,Positionen nicht ersatzfähig (Teilablehnung),"Einzelne Positionen sind nicht ersatzfähig (Neuwert statt Zeitwert, eigener Zeitaufwand, pauschale Umtriebe).","Einzelne Positionen sind nicht ersatzfähig (Neuwert statt Zeitwert, eigener Zeitaufwand, pauschale Unkosten).",Art. 42/43 OR,"§§ 249, 251 BGB",,,,,,,,,Stolperstein S15/S17; Abschreibungstabellen Schadenrichtlinie Kap. 5
haftung,mitverschulden,Mitverschulden des Geschädigten (Quote),Den Geschädigten trifft ein Mitverschulden; die Haftung wird auf eine Quote reduziert (Art. 44 OR).,Den Geschädigten trifft ein Mitverschulden; die Haftung wird quotal gekürzt (§ 254 BGB).,Art. 44 OR,§ 254 BGB,,,,,,,,,"Typische Quoten 50 %, 2/3, 75 %; Stolperstein S11"
haftung,haftung_dritter,Haftung eines Dritten,"Für den Schaden ist ein Dritter verantwortlich (z. B. Hersteller, Subunternehmer, anderer Beteiligter).","Für den Schaden ist ein Dritter verantwortlich (z. B. Hersteller, Subunternehmer, anderer Beteiligter).",Art. 50/51 OR,"§§ 830, 840 BGB",,,,,,,,,Regress möglich (regress_status aktiv_offen)
haftung,verjaehrt,Anspruch verjährt,"Der Anspruch ist verjährt (Art. 60 OR: 3 Jahre relativ, 10 Jahre absolut, 20 Jahre bei Personenschäden).","Der Anspruch ist verjährt (§§ 195, 199 BGB: 3 Jahre ab Kenntnis).",Art. 60 OR,"§§ 195, 199 BGB",,,,,,,,,Verjährungsverzicht-Forderung in Anwaltsschreiben S04
haftung,anspruch_zurueckgezogen,Anspruch zurückgezogen,Der Geschädigte hat seine Forderung zurückgezogen.,Der Anspruchsteller hat seine Forderung zurückgenommen.,,,,,,,,,,,Schliessungsgrund zurueckgezogen; Nullschaden
haftung,kulanz_verweigert,Kulanz nicht gewährt,Eine Leistung ohne Rechtspflicht (Kulanz) wird nicht gewährt.,Eine Kulanzleistung ohne Anerkennung einer Rechtspflicht wird nicht gewährt.,Schadenrichtlinie Kap. 4,Schadenrichtlinie Kap. 4,,,,,,,,,Kulanzrahmen nach Vollmachtsstufe; Stolperstein S19 als Gegenfall
