interaktion_id,kanal,richtung,zeitpunkt,dauer_sekunden,partner_id,mitarbeiter_id,vermittler_id,bezug_typ,bezug_id,thread_id,betreff,zusammenfassung,sprache,sentiment_agent,datei_pfad,text_body,ist_persona_fall
INT-00000241,CHAT,EINGEHEND,2025-04-14T18:15:00Z,,PTR-00000002,,,VERTRAG,VTR-00000201,TH-00000241,Chat: Umstellung auf Pfefferminzia App,,de,,data/documents/S/personas/PTR-00000002/INT-00000241_chat.md,"kunde: ihr habt mir gemailt dass minzia.direct jetzt pfefferminzia app heisst. aendern sich meine bedingungen?
assistent: Nein. Dein Vertrag laeuft mit den Bedingungen der Generation MZ-DIRECT weiter, an Deckung, Beitrag und Kuendigungsfrist aendert sich nichts. Neu ist nur die App und dass hinter dem Vertrag jetzt die Pfefferminzia Versicherung AG als Risikotraeger steht.
kunde: ok",true
INT-00000255,CHAT,EINGEHEND,2025-09-08T20:31:00Z,,PTR-00000002,,,ALLGEMEIN,,TH-00000255,Chat: Risikoleben nach Wohnungskauf,,de,,data/documents/S/personas/PTR-00000002/INT-00000255_chat.md,"kunde: ich hab jetzt eine wohnung gekauft mit kredit. brauche ich eine risikoleben?
assistent: Eine Risikolebensversicherung zahlt im Todesfall eine vereinbarte Summe aus, zum Beispiel um einen Kredit abzuloesen. Sinnvoll ist sie, wenn jemand von deinem Einkommen abhaengt oder der Kredit sonst nicht bedient werden koennte. Fuer EUR 200'000 ueber 30 Jahre liegt der monatliche Beitrag als Nichtraucherin in deinem Alter bei rund 15 Euro. Der Antrag dauert etwa zehn Minuten, mit Gesundheitsfragen.
kunde: ok zeig mir den antrag",true
INT-00000262,CHAT,EINGEHEND,2025-11-03T12:10:00Z,,PTR-00000002,MIT-00010,,VERTRAG,VTR-00000202,TH-00000262,Chat: Steuerbescheinigung Risikoleben (Fehlantwort),,de,negativ,data/documents/S/personas/PTR-00000002/INT-00000262_chat.md,"kunde: bekomme ich fuer die risikoleben eine steuerbescheinigung fuer die steuererklaerung?
assistent: Ja, wir stellen dir jaehrlich eine Bescheinigung ueber die geleisteten Beitraege aus. Die Beitraege zur Rentenversicherung kannst du als Altersvorsorgeaufwendungen nach Paragraph 10 EStG bis zum Hoechstbetrag absetzen; die Bescheinigung findest du ab Februar in der App.
kunde: das stimmt nicht, oder? das ist keine rentenversicherung
assistent: Du hast recht, ich habe die Produkte verwechselt. Beitraege zu einer Risikolebensversicherung sind nur im Rahmen der sonstigen Vorsorgeaufwendungen absetzbar, deren Hoechstbetrag meist schon durch die Krankenversicherung ausgeschoepft ist. Eine Bescheinigung stellen wir auf Wunsch trotzdem aus.

[Feedback-Button: Antwort falsch. Ticket an Data & AI Office, Fehlerprotokoll LLM-2025-1103-07]",true
INT-00000318,EMAIL,EINGEHEND,2024-03-13T07:52:00Z,,PTR-00000003,MIT-00008,VRM-00017,SCHADEN,SCH-00000318,TH-00000318,"Schadenmeldung Kaufmann + Soehne, Wasserschaden Lenzburg, dringend",,de,negativ,data/documents/S/personas/PTR-00000003/INT-00000318.eml,"Sehr geehrte Damen und Herren

Im Namen unserer Kundin Schreinerei Kaufmann + Soehne GmbH (Police 40.551.207-2) melden wir einen Wasserschaden in einer Neubauwohnung in Lenzburg (Aarepark, Wohnung 4.2). Nach der Kuechenmontage vom 11.03. ist ueber Nacht Wasser aus dem Anschluss der Spuele ausgetreten. Betroffen sind die Wohnung selbst sowie zwei darunterliegende Wohnungen (Decken, Boeden, Mobiliar). Die Stockwerkeigentuemer haben eine Sanierungsfirma beauftragt; erste Schaetzung liegt bei CHF 150'000 bis 200'000.

Wir bitten um umgehende Besichtigung durch einen Gutachter und um Bestaetigung der Deckung bis Freitag. Der Bauherr droht bereits mit rechtlichen Schritten gegen unsere Kundin.

Freundliche Gruesse
Broker Mittelland AG, Aarau",true
INT-00000319,TELEFON,EINGEHEND,2024-03-13T10:15:00Z,,PTR-00000003,MIT-00008,,SCHADEN,SCH-00000318,TH-00000318,Telefonnotiz VN Bruno Kaufmann,,de,negativ,data/documents/S/personas/PTR-00000003/INT-00000319_telefon.md,"Tel. VN B. Kaufmann, 10 Min. Sehr aufgebracht. Sagt, Armatur sei vom Lieferanten geliefert, Montage nach Anleitung, Anschluss habe am Abend dicht gewirkt. Fragt, ob er die Kundin selbst entschaedigen soll (NEIN, keine Anerkennung ohne uns). Regress gegen Lieferant pruefen. Gutachter Baumann & Co beauftragt, Besichtigung Fr. 15.03.",true
INT-00000325,EMAIL,EINGEHEND,2024-06-11T16:40:00Z,,PTR-00000003,MIT-00008,VRM-00017,SCHADEN,SCH-00000318,TH-00000318,Wasserschaden Aarepark: Stand der Regulierung,,de,negativ,data/documents/S/personas/PTR-00000003/INT-00000325.eml,"Sehr geehrter Herr Wenger

Das Gutachten liegt seit dem 14.05. vor und beziffert den Schaden auf CHF 180'000. Seither ist keine Zahlung erfolgt. Die Stockwerkeigentuemer haben unserer Kundin gestern eine Frist bis 30.06. gesetzt und kuendigen andernfalls Klage an. Unsere Kundin ist ein Betrieb mit 14 Mitarbeitenden und kann eine Klage nicht tragen.

Wir erwarten Ihre Stellungnahme bis 18.06. mit einem verbindlichen Zahlungsplan. Sollte die Regulierung weiter verzoegert werden, behalten wir uns vor, die Ombudsstelle einzuschalten.

Freundliche Gruesse
Broker Mittelland AG",true
INT-00000326,EMAIL,AUSGEHEND,2024-06-14T11:05:00Z,,PTR-00000003,MIT-00008,VRM-00017,SCHADEN,SCH-00000318,TH-00000318,Re: Wasserschaden Aarepark: Stand der Regulierung,,de,,data/documents/S/personas/PTR-00000003/INT-00000326.eml,"Sehr geehrte Damen und Herren

Die Deckung ist bestaetigt, die Haftung dem Grunde nach anerkannt. Offen ist die Frage, ob die Armatur einen Produktfehler hatte; das aendert nichts an der Zahlung an die Geschaedigten, wohl aber am Regress. Wir schlagen vor: Teilzahlung von CHF 95'000 an die Stockwerkeigentuemergemeinschaft bis Ende August auf Basis der bisherigen Sanierungsrechnungen, Rest nach Schlussrechnung. Die Freigabe der Teilzahlung erfolgt durch die Teamleitung, da der Betrag ueber meiner Kompetenz liegt.

Freundliche Gruesse
Tobias Wenger, Senior Underwriter, in Vertretung Schaden CH",true
INT-00000340,EMAIL,EINGEHEND,2025-02-10T09:20:00Z,,PTR-00000003,MIT-00008,VRM-00017,VERTRAG,VTR-00000301,TH-00000340,Anfrage Hoeherdeckung CHF 10 Mio. Kaufmann + Soehne,,de,neutral,data/documents/S/personas/PTR-00000003/INT-00000340.eml,"Sehr geehrter Herr Wenger

Unsere Kundin hat den Zuschlag fuer den Innenausbau des Schulhauses Lenzburg-Nord erhalten (Auftragsvolumen CHF 1.8 Mio.). Der Bauherr verlangt eine Deckungssumme von CHF 10 Mio. Bitte unterbreiten Sie uns eine Offerte inkl. Bearbeitungsschaeden mit Sublimit CHF 2 Mio.

Wir weisen darauf hin, dass die Praemie nach der Sanierung im November bereits um 20 Prozent gestiegen ist.

Freundliche Gruesse
Broker Mittelland AG",true
INT-00000419,EMAIL,AUSGEHEND,2024-10-08T14:30:00Z,,PTR-00000004,MIT-00009,VRM-00010,SCHADEN,SCH-00000419,TH-00000419,Schaden SCH-00000419 Bergmann Gebaeudetechnik: Regulierung und Hinweis Anzeigepflicht,,de,,data/documents/S/personas/PTR-00000004/INT-00000419.eml,"Sehr geehrte Damen und Herren,

den Schaden vom 17.09.2024 (Dachziegel und Unterspannbahn bei Photovoltaik-Montage) regulieren wir mit EUR 27.500,00 abzueglich Selbstbehalt EUR 500,00.

Gleichzeitig weisen wir darauf hin, dass die Betriebsbeschreibung Ihrer Kundin vom Januar 2014 keine Dach- oder Photovoltaikarbeiten enthaelt. Die Aufnahme dieser Taetigkeit stellt eine Gefahrerhoehung dar, die uns gemaess Paragraph 23 VVG anzuzeigen gewesen waere. Wir bitten um eine aktualisierte Betriebsbeschreibung bis 15.11.2024. Bis dahin werden wir keine weiteren Schaeden aus Dacharbeiten ohne Einzelfallpruefung regulieren.

Mit freundlichen Gruessen
Aylin Demirci, Teamleiterin Schaden Haftpflicht DE",true
INT-00000420,EMAIL,EINGEHEND,2024-10-09T22:14:00Z,,PTR-00000004,MIT-00009,,SCHADEN,SCH-00000419,TH-00000419,Re: Schaden SCH-00000419 Bergmann Gebaeudetechnik,,de,negativ,data/documents/S/personas/PTR-00000004/INT-00000420.eml,"Frau Demirci,

wir bauen seit Maerz Photovoltaik, das weiss unser Makler seit dem Fruehjahr. Ich habe das schon Ihrem Kollegen erklaert, als wir die Umsatzmeldung geschickt haben. Dass wir jetzt eine neue Betriebsbeschreibung brauchen, hoeren wir zum ersten Mal.

Wir liefern die Unterlagen ueber den Makler. Ich erwarte, dass die Regulierung des laufenden Schadens davon unberuehrt bleibt.

Mit freundlichen Gruessen
Kerstin Bergmann, Geschaeftsfuehrerin",true
INT-00000431,TELEFON,EINGEHEND,2025-08-19T11:20:00Z,,PTR-00000004,,,VERTRAG,VTR-00000402,TH-00000431,Telefonnotiz: Rueckkaufswert Rente Bergmann,,de,neutral,data/documents/S/personas/PTR-00000004/INT-00000431_telefon.md,"Tel. Frau K. Bergmann, Kundenservice Leipzig, 6 Min. Fragt nach Rueckkaufswert und Moeglichkeit Beitragsfreistellung ihrer privaten Rentenversicherung (L-0207731), Grund Investitionen im Betrieb. Rueckkaufswert per 30.06.2025 genannt (EUR 31'840, Stornoabzug 3 Prozent). Auf Beitragsfreistellung als Alternative hingewiesen. Kundin will es mit Makler besprechen. Kein Auftrag.",true
INT-00000501,BRIEF,EINGEHEND,2016-03-21T00:00:00Z,,PTR-00000005,MIT-00007,VRM-00004,VERTRAG,VTR-00000501,TH-00000501,Frage zur Standmitteilung: sinkender Ueberschuss,,de,neutral,data/documents/S/personas/PTR-00000005/INT-00000501_brief.md,"Sehr geehrte Damen und Herren der Pfefferminz Versicherung

Ich habe Ihre Standmitteilung vom 8. Maerz erhalten und mit den Vorjahren verglichen. Der Ueberschussanteil ist wieder gesunken, von 2.9 auf 2.5 Prozent. Mein verstorbener Vater hat mir immer gesagt, eine Lebensversicherung sei sicher. Ich bitte um eine verstaendliche Erklaerung, warum der Betrag jedes Jahr kleiner wird, und ob die garantierte Summe von 120'000 Franken davon betroffen ist.

Mit freundlichen Gruessen
E. Vogt-Schnyder",true
INT-00000502,BRIEF,AUSGEHEND,2016-04-05T00:00:00Z,,PTR-00000005,MIT-00007,VRM-00004,VERTRAG,VTR-00000501,TH-00000501,Ihre Frage zur Ueberschussbeteiligung,,de,,data/documents/S/personas/PTR-00000005/INT-00000502_brief.md,"Sehr geehrte Frau Vogt-Schnyder

Vielen Dank fuer Ihren Brief. Ihre Sorge ist verstaendlich, deshalb gerne in Ruhe:

Die garantierte Summe von CHF 120'000 ist fest zugesagt und aendert sich nicht. Ihr Vertrag aus dem Jahr 1995 rechnet mit einem technischen Zins von 3.5 Prozent; das ist heute deutlich mehr, als am Kapitalmarkt sicher zu erzielen ist. Der Ueberschuss ist der Teil, den wir zusaetzlich zur Garantie erwirtschaften. Weil die Zinsen seit Jahren tief sind, faellt dieser Zusatz kleiner aus. Bei Ablauf 2019 erhalten Sie die garantierte Summe, die bis dahin angesammelten Ueberschuesse und einen Schlussueberschuss.

Ihre Beraterin in der Agentur Solothurn erlaeutert Ihnen die Zahlen gerne persoenlich.

Mit freundlichen Gruessen
Ruth Amrein, Leistungspruefung Leben",true
INT-00000505,TELEFON,EINGEHEND,2019-03-04T14:00:00Z,,PTR-00000005,MIT-00007,VRM-00004,SCHADEN,SCH-00000501,TH-00000505,Telefonnotiz Tochter Andrea Vogt: Ablauf und Todesfall Vater,,de,neutral,data/documents/S/personas/PTR-00000005/INT-00000505_telefon.md,"Tel. Frau Andrea Vogt (Tochter der VN), 12 Min. Vater Walter Vogt am 14.02.2019 verstorben, Todesfallmeldung ueber Agentur bereits erfolgt (eigener Vertrag L-0031186). Fragt, ob die Kinder aus dem Vertrag der Mutter (L-0031187, Ablauf 09.06.2019) 'etwas bekommen', weil der Vater Beguenstigter war. Erklaert: Bezugsrecht gilt nur im Todesfall der versicherten Person; Mutter erlebt den Ablauf, Leistung geht an sie als VN. Tochter erleichtert. Wunsch: Beratung zur Verwendung des Kapitals (Rente?). Termin Agentur vereinbart.",true
INT-00000512,BRIEF,EINGEHEND,2025-02-17T00:00:00Z,,PTR-00000005,MIT-00013,,VERTRAG,VTR-00000502,TH-00000512,Ist meine Rente nach der Fusion sicher?,,de,neutral,data/documents/S/personas/PTR-00000005/INT-00000512_brief.md,"Sehr geehrte Damen und Herren der Pfefferminz Versicherung

In der Zeitung habe ich gelesen, dass die Pfefferminz mit einer Firma aus Berlin zusammengelegt wurde und jetzt anders heisst. Ich beziehe seit 2019 eine Rente von Ihnen (Vertrag L-0221904). Bitte bestaetigen Sie mir schriftlich, dass meine Rente in der bisherigen Hoehe weiterbezahlt wird und dass mein Vertrag bei einer Schweizer Gesellschaft bleibt.

Ich bitte um Antwort per Brief, ich habe keine E-Mail.

Mit freundlichen Gruessen
E. Vogt-Schnyder",true
INT-00000513,BRIEF,AUSGEHEND,2025-02-24T00:00:00Z,,PTR-00000005,MIT-00013,,VERTRAG,VTR-00000502,TH-00000512,Ihre Rente bleibt unveraendert,,de,,data/documents/S/personas/PTR-00000005/INT-00000513_brief.md,"Sehr geehrte Frau Vogt-Schnyder

Vielen Dank fuer Ihren Brief. Ihre Rente wird unveraendert in der bisherigen Hoehe von CHF 512.50 monatlich zuzueglich Ueberschussrente weiterbezahlt. Ihr Vertrag bleibt bei der Pfefferminzia Leben AG mit Sitz in Olten, die von der FINMA beaufsichtigt wird. Der Zusammenschluss betrifft den Namen und die Organisation, nicht Ihre vertraglichen Anspruueche.

Sollten Sie Fragen haben, erreichen Sie uns weiterhin telefonisch unter der gewohnten Nummer.

Mit freundlichen Gruessen
Pfefferminzia Versicherungen AG, Kundenservice Olten
Dario Bianchi",true
INT-00000631,EMAIL,EINGEHEND,2025-06-02T07:48:00Z,,PTR-00000006,MIT-00006,VRM-00032,ANTRAG,ANT-00000602,TH-00000631,Antrag Risikoleben ANT-00000602: Begruendung des Zuschlags und Auskunft nach Art. 22 DSGVO,,de,negativ,data/documents/S/personas/PTR-00000006/INT-00000631.eml,"Sehr geehrte Damen und Herren,

mit Gegenofferte vom 28.05.2025 teilen Sie mir mit, dass mein Antrag auf eine Risikolebensversicherung ueber EUR 1.200.000 nur mit einem Zuschlag von 50 Prozent auf die Risikopraemie angenommen wird. Eine Begruendung fehlt.

Ich bitte um Beantwortung folgender Fragen bis zum 16.06.2025:
1. Auf welcher Grundlage wurde der Zuschlag festgesetzt? Bitte nennen Sie die massgeblichen Angaben und die angewandte Regel.
2. Wurde diese Entscheidung durch einen Algorithmus getroffen? Falls ja, verlange ich gemaess Art. 22 DSGVO eine Ueberpruefung durch einen Menschen und eine Erlaeuterung der Logik.
3. Welche meiner Gesundheitsdaten wurden verarbeitet und an wen weitergegeben (Art. 15 DSGVO)?
4. Unter welchen Voraussetzungen kann der Zuschlag spaeter entfallen?

Ich weise darauf hin, dass ich als Facharzt die medizinische Einschaetzung nachvollziehen kann und eine pauschale Antwort nicht akzeptieren werde.

Mit freundlichen Gruessen
Dr. med. Farid Nazari, Facharzt fuer Orthopaedie",true
INT-00000632,EMAIL,AUSGEHEND,2025-06-16T15:10:00Z,,PTR-00000006,MIT-00006,VRM-00032,ANTRAG,ANT-00000602,TH-00000631,Re: Antrag Risikoleben ANT-00000602: Begruendung und Auskunft,,de,,data/documents/S/personas/PTR-00000006/INT-00000632.eml,"Sehr geehrter Herr Dr. Nazari,

vielen Dank fuer Ihre Nachricht. Gerne beantworten wir Ihre Fragen; das ausfuehrliche Erklaerungsschreiben mit Anlage geht Ihnen heute per Post zu.

1. Grundlage des Zuschlags ist Kapitel 6 unserer Annahmerichtlinie (Herz-Kreislauf): medikamentoes eingestellte arterielle Hypertonie mit Werten unter 140/90 fuehrt bei Versicherungssummen ueber EUR 750.000 zu einem Zuschlag von 25 bis 50 Prozent auf die Risikopraemie; wegen der Summe und des Beginns der Behandlung vor weniger als fuenf Jahren wurde die obere Stufe gewaehlt. Der Bandscheibenvorfall 2019 hatte keinen Einfluss, da fuer eine reine Todesfallversicherung keine Bewertung des Bewegungsapparats erfolgt.
2. Die Entscheidung wurde nicht automatisiert getroffen. Unser Regelwerk hat den Antrag vorgeprueft und wegen der Summe und des Befunds an die manuelle Pruefung uebergeben; entschieden haben eine Risikopruererin und unser Gesellschaftsarzt. Automatisierte Entscheidungen treffen wir nur bei Annahmen ohne Erschwerung unterhalb definierter Summen.
3. Die Auskunft nach Art. 15 DSGVO erhalten Sie im Schreiben: verarbeitet wurden Ihre Antragsangaben, das Hausarztzeugnis, der Untersuchungsbericht des Vertrauensarztes und die Laborwerte. Weitergegeben wurde nichts; die Rueckversicherung wurde nicht beteiligt, da die Summe unter EUR 1.5 Mio. liegt.
4. Nach zwei Jahren stabil eingestellter Werte koennen Sie eine Nachpruefung beantragen; bei unauffaelligem Befund entfaellt der Zuschlag.

Mit freundlichen Gruessen
Sven Lindqvist-Brandt, Datenschutzbeauftragter, in Abstimmung mit der Risikopruefung Leben DE",true
INT-00000633,EMAIL,EINGEHEND,2025-06-24T19:30:00Z,,PTR-00000006,,VRM-00032,ANTRAG,ANT-00000602,TH-00000631,Annahme der Gegenofferte,,de,neutral,data/documents/S/personas/PTR-00000006/INT-00000633.eml,"Sehr geehrte Damen und Herren,

ich nehme die Gegenofferte vom 28.05.2025 an. Bitte merken Sie die Nachpruefung fuer Juni 2027 vor und bestaetigen Sie mir dies im Versicherungsschein.

Mit freundlichen Gruessen
Dr. med. Farid Nazari",true
INT-00000640,EMAIL,EINGEHEND,2025-09-11T10:05:00Z,,PTR-00000006,MIT-00012,VRM-00032,VERTRAG,VTR-00000602,TH-00000640,Frage zu Gentest-Ergebnissen (GenDG),,de,neutral,data/documents/S/personas/PTR-00000006/INT-00000640.eml,"Sehr geehrte Damen und Herren,

im Auftrag unseres Kunden Dr. Nazari: Er hat im Rahmen einer klinischen Studie an seiner Praxis einen genetischen Test durchfuehren lassen, dessen Ergebnis ihm vorliegt. Muss er dieses Ergebnis dem Versicherer nachtraeglich mitteilen, und haette es bei Antragstellung angegeben werden muessen?

Mit freundlichen Gruessen
Isarwerk Finanzberatung GmbH",true
INT-00000641,EMAIL,AUSGEHEND,2025-09-15T09:40:00Z,,PTR-00000006,MIT-00012,VRM-00032,VERTRAG,VTR-00000602,TH-00000640,Re: Frage zu Gentest-Ergebnissen (GenDG),,de,,data/documents/S/personas/PTR-00000006/INT-00000641.eml,"Sehr geehrte Damen und Herren,

nach Paragraph 18 Gendiagnostikgesetz duerfen wir bei Lebensversicherungen bis EUR 300.000 Versicherungssumme weder die Vornahme von Gentests verlangen noch Ergebnisse entgegennehmen. Oberhalb dieser Grenze duerfen bereits vorliegende Ergebnisse nur auf ausdrueckliche Nachfrage des Versicherers vorgelegt werden. Wir haben im Antrag nicht danach gefragt und fragen auch jetzt nicht danach. Es besteht daher keine Mitteilungspflicht, und die Annahmeentscheidung bleibt unberuehrt. Vereinfachte Darstellung; die Richtlinie unserer Gruppe ist in diesem Punkt strenger als das Gesetz und untersagt jede Verwendung genetischer Daten.

Mit freundlichen Gruessen
Miriam Steinbrecher, Compliance Officer DE",true
INT-00000701,CHAT,EINGEHEND,2024-09-03T17:22:00Z,,PTR-00000007,,,ALLGEMEIN,,TH-00000701,Chat: WG und Waschmaschine,,de,,data/documents/S/personas/PTR-00000007/INT-00000701_chat.md,"kunde: kurz gefragt, bin ich als wg-bewohner haftbar wenn die waschmaschine im keller kaputt geht und ich schuld bin?
assistent: Ja, wenn du sie fahrlaessig beschaedigst. Eine Privathaftpflicht deckt solche Mietsachschaeden an Einrichtungen, die zur gemieteten Wohnung gehoeren, bis zur Deckungssumme. Fuer die WG gilt: Jede Person braucht eine eigene Police oder ist bei den Eltern mitversichert, solange sie in Ausbildung ist und dort gemeldet war.
kunde: ok, ich bin jetzt in zuerich gemeldet, also eigene police
assistent: Dann bereite ich dir den Antrag vor: Einzelperson, Deckungssumme CHF 5 Mio., Selbstbehalt CHF 200, Beginn 1. September. Prämie CHF 129.20 pro Jahr mit Direktrabatt und papierlos.",true
INT-00000705,CHAT,EINGEHEND,2025-01-20T21:05:00Z,,PTR-00000007,MIT-00013,,ALLGEMEIN,,TH-00000705,Chat: Saeule 3a mit 23,,de,,data/documents/S/personas/PTR-00000007/INT-00000705_chat.md,"kunde: was ist saeule 3a und lohnt sich das mit 23?
assistent: Die Saeule 3a ist die gebundene private Vorsorge in der Schweiz. Einzahlungen kannst du vom steuerbaren Einkommen abziehen (2025 maximal CHF 7'258 mit Pensionskasse); das Geld ist bis fuenf Jahre vor der Pensionierung gebunden, mit Ausnahmen wie Wohneigentum oder Selbstaendigkeit. Mit 23 lohnt sich vor allem der Zinseszins; ob eine Versicherungsloesung oder ein Bankkonto besser passt, haengt davon ab, ob du zusaetzlich einen Todesfall- oder Erwerbsunfaehigkeitsschutz willst. Soll ich dir einen Termin fuer eine Video-Beratung mit einem Menschen buchen?
kunde: ja, geht das per app?
assistent: Ja. Vorschlag: Mittwoch 22.01. um 18:00 mit Dario Bianchi, Kundenservice Olten.",true
